attribute_id,attribute,hero_id,hero_name,level,value
max_health,Max Health,6,Abrams,1,800.0
max_health,Max Health,6,Abrams,2,852.0
max_health,Max Health,6,Abrams,3,904.0
max_health,Max Health,6,Abrams,4,956.0
max_health,Max Health,6,Abrams,5,1008.0
max_health,Max Health,6,Abrams,6,1060.0
max_health,Max Health,6,Abrams,7,1112.0
max_health,Max Health,6,Abrams,8,1164.0
max_health,Max Health,6,Abrams,9,1216.0
max_health,Max Health,6,Abrams,10,1268.0
max_health,Max Health,6,Abrams,11,1320.0
max_health,Max Health,6,Abrams,12,1372.0
max_health,Max Health,6,Abrams,13,1424.0
max_health,Max Health,6,Abrams,14,1476.0
max_health,Max Health,6,Abrams,15,1528.0
max_health,Max Health,6,Abrams,16,1580.0
max_health,Max Health,6,Abrams,17,1632.0
max_health,Max Health,6,Abrams,18,1684.0
max_health,Max Health,6,Abrams,19,1736.0
max_health,Max Health,6,Abrams,20,1788.0
max_health,Max Health,6,Abrams,21,1840.0
max_health,Max Health,6,Abrams,22,1892.0
max_health,Max Health,6,Abrams,23,1944.0
max_health,Max Health,6,Abrams,24,1996.0
max_health,Max Health,6,Abrams,25,2048.0
max_health,Max Health,6,Abrams,26,2100.0
max_health,Max Health,6,Abrams,27,2152.0
max_health,Max Health,6,Abrams,28,2204.0
max_health,Max Health,6,Abrams,29,2256.0
max_health,Max Health,6,Abrams,30,2308.0
max_health,Max Health,6,Abrams,31,2360.0
max_health,Max Health,6,Abrams,32,2412.0
max_health,Max Health,6,Abrams,33,2464.0
max_health,Max Health,6,Abrams,34,2516.0
max_health,Max Health,6,Abrams,35,2568.0
max_health,Max Health,6,Abrams,36,2620.0
max_health,Max Health,77,Apollo,1,770.0
max_health,Max Health,77,Apollo,2,817.0
max_health,Max Health,77,Apollo,3,864.0
max_health,Max Health,77,Apollo,4,911.0
max_health,Max Health,77,Apollo,5,958.0
max_health,Max Health,77,Apollo,6,1005.0
max_health,Max Health,77,Apollo,7,1052.0
max_health,Max Health,77,Apollo,8,1099.0
max_health,Max Health,77,Apollo,9,1146.0
max_health,Max Health,77,Apollo,10,1193.0
max_health,Max Health,77,Apollo,11,1240.0
max_health,Max Health,77,Apollo,12,1287.0
max_health,Max Health,77,Apollo,13,1334.0
max_health,Max Health,77,Apollo,14,1381.0
max_health,Max Health,77,Apollo,15,1428.0
max_health,Max Health,77,Apollo,16,1475.0
max_health,Max Health,77,Apollo,17,1522.0
max_health,Max Health,77,Apollo,18,1569.0
max_health,Max Health,77,Apollo,19,1616.0
max_health,Max Health,77,Apollo,20,1663.0
max_health,Max Health,77,Apollo,21,1710.0
max_health,Max Health,77,Apollo,22,1757.0
max_health,Max Health,77,Apollo,23,1804.0
max_health,Max Health,77,Apollo,24,1851.0
max_health,Max Health,77,Apollo,25,1898.0
max_health,Max Health,77,Apollo,26,1945.0
max_health,Max Health,77,Apollo,27,1992.0
max_health,Max Health,77,Apollo,28,2039.0
max_health,Max Health,77,Apollo,29,2086.0
max_health,Max Health,77,Apollo,30,2133.0
max_health,Max Health,77,Apollo,31,2180.0
max_health,Max Health,77,Apollo,32,2227.0
max_health,Max Health,77,Apollo,33,2274.0
max_health,Max Health,77,Apollo,34,2321.0
max_health,Max Health,77,Apollo,35,2368.0
max_health,Max Health,77,Apollo,36,2415.0
max_health,Max Health,15,Bebop,1,880.0
max_health,Max Health,15,Bebop,2,935.0
max_health,Max Health,15,Bebop,3,990.0
max_health,Max Health,15,Bebop,4,1045.0
max_health,Max Health,15,Bebop,5,1100.0
max_health,Max Health,15,Bebop,6,1155.0
max_health,Max Health,15,Bebop,7,1210.0
max_health,Max Health,15,Bebop,8,1265.0
max_health,Max Health,15,Bebop,9,1320.0
max_health,Max Health,15,Bebop,10,1375.0
max_health,Max Health,15,Bebop,11,1430.0
max_health,Max Health,15,Bebop,12,1485.0
max_health,Max Health,15,Bebop,13,1540.0
max_health,Max Health,15,Bebop,14,1595.0
max_health,Max Health,15,Bebop,15,1650.0
max_health,Max Health,15,Bebop,16,1705.0
max_health,Max Health,15,Bebop,17,1760.0
max_health,Max Health,15,Bebop,18,1815.0
max_health,Max Health,15,Bebop,19,1870.0
max_health,Max Health,15,Bebop,20,1925.0
max_health,Max Health,15,Bebop,21,1980.0
max_health,Max Health,15,Bebop,22,2035.0
max_health,Max Health,15,Bebop,23,2090.0
max_health,Max Health,15,Bebop,24,2145.0
max_health,Max Health,15,Bebop,25,2200.0
max_health,Max Health,15,Bebop,26,2255.0
max_health,Max Health,15,Bebop,27,2310.0
max_health,Max Health,15,Bebop,28,2365.0
max_health,Max Health,15,Bebop,29,2420.0
max_health,Max Health,15,Bebop,30,2475.0
max_health,Max Health,15,Bebop,31,2530.0
max_health,Max Health,15,Bebop,32,2585.0
max_health,Max Health,15,Bebop,33,2640.0
max_health,Max Health,15,Bebop,34,2695.0
max_health,Max Health,15,Bebop,35,2750.0
max_health,Max Health,15,Bebop,36,2805.0
max_health,Max Health,72,Billy,1,820.0
max_health,Max Health,72,Billy,2,876.0
max_health,Max Health,72,Billy,3,932.0
max_health,Max Health,72,Billy,4,988.0
max_health,Max Health,72,Billy,5,1044.0
max_health,Max Health,72,Billy,6,1100.0
max_health,Max Health,72,Billy,7,1156.0
max_health,Max Health,72,Billy,8,1212.0
max_health,Max Health,72,Billy,9,1268.0
max_health,Max Health,72,Billy,10,1324.0
max_health,Max Health,72,Billy,11,1380.0
max_health,Max Health,72,Billy,12,1436.0
max_health,Max Health,72,Billy,13,1492.0
max_health,Max Health,72,Billy,14,1548.0
max_health,Max Health,72,Billy,15,1604.0
max_health,Max Health,72,Billy,16,1660.0
max_health,Max Health,72,Billy,17,1716.0
max_health,Max Health,72,Billy,18,1772.0
max_health,Max Health,72,Billy,19,1828.0
max_health,Max Health,72,Billy,20,1884.0
max_health,Max Health,72,Billy,21,1940.0
max_health,Max Health,72,Billy,22,1996.0
max_health,Max Health,72,Billy,23,2052.0
max_health,Max Health,72,Billy,24,2108.0
max_health,Max Health,72,Billy,25,2164.0
max_health,Max Health,72,Billy,26,2220.0
max_health,Max Health,72,Billy,27,2276.0
max_health,Max Health,72,Billy,28,2332.0
max_health,Max Health,72,Billy,29,2388.0
max_health,Max Health,72,Billy,30,2444.0
max_health,Max Health,72,Billy,31,2500.0
max_health,Max Health,72,Billy,32,2556.0
max_health,Max Health,72,Billy,33,2612.0
max_health,Max Health,72,Billy,34,2668.0
max_health,Max Health,72,Billy,35,2724.0
max_health,Max Health,72,Billy,36,2780.0
max_health,Max Health,16,Calico,1,730.0
max_health,Max Health,16,Calico,2,769.0
max_health,Max Health,16,Calico,3,808.0
max_health,Max Health,16,Calico,4,847.0
max_health,Max Health,16,Calico,5,886.0
max_health,Max Health,16,Calico,6,925.0
max_health,Max Health,16,Calico,7,964.0
max_health,Max Health,16,Calico,8,1003.0
max_health,Max Health,16,Calico,9,1042.0
max_health,Max Health,16,Calico,10,1081.0
max_health,Max Health,16,Calico,11,1120.0
max_health,Max Health,16,Calico,12,1159.0
max_health,Max Health,16,Calico,13,1198.0
max_health,Max Health,16,Calico,14,1237.0
max_health,Max Health,16,Calico,15,1276.0
max_health,Max Health,16,Calico,16,1315.0
max_health,Max Health,16,Calico,17,1354.0
max_health,Max Health,16,Calico,18,1393.0
max_health,Max Health,16,Calico,19,1432.0
max_health,Max Health,16,Calico,20,1471.0
max_health,Max Health,16,Calico,21,1510.0
max_health,Max Health,16,Calico,22,1549.0
max_health,Max Health,16,Calico,23,1588.0
max_health,Max Health,16,Calico,24,1627.0
max_health,Max Health,16,Calico,25,1666.0
max_health,Max Health,16,Calico,26,1705.0
max_health,Max Health,16,Calico,27,1744.0
max_health,Max Health,16,Calico,28,1783.0
max_health,Max Health,16,Calico,29,1822.0
max_health,Max Health,16,Calico,30,1861.0
max_health,Max Health,16,Calico,31,1900.0
max_health,Max Health,16,Calico,32,1939.0
max_health,Max Health,16,Calico,33,1978.0
max_health,Max Health,16,Calico,34,2017.0
max_health,Max Health,16,Calico,35,2056.0
max_health,Max Health,16,Calico,36,2095.0
max_health,Max Health,81,Celeste,1,690.0
max_health,Max Health,81,Celeste,2,725.0
max_health,Max Health,81,Celeste,3,760.0
max_health,Max Health,81,Celeste,4,795.0
max_health,Max Health,81,Celeste,5,830.0
max_health,Max Health,81,Celeste,6,865.0
max_health,Max Health,81,Celeste,7,900.0
max_health,Max Health,81,Celeste,8,935.0
max_health,Max Health,81,Celeste,9,970.0
max_health,Max Health,81,Celeste,10,1005.0
max_health,Max Health,81,Celeste,11,1040.0
max_health,Max Health,81,Celeste,12,1075.0
max_health,Max Health,81,Celeste,13,1110.0
max_health,Max Health,81,Celeste,14,1145.0
max_health,Max Health,81,Celeste,15,1180.0
max_health,Max Health,81,Celeste,16,1215.0
max_health,Max Health,81,Celeste,17,1250.0
max_health,Max Health,81,Celeste,18,1285.0
max_health,Max Health,81,Celeste,19,1320.0
max_health,Max Health,81,Celeste,20,1355.0
max_health,Max Health,81,Celeste,21,1390.0
max_health,Max Health,81,Celeste,22,1425.0
max_health,Max Health,81,Celeste,23,1460.0
max_health,Max Health,81,Celeste,24,1495.0
max_health,Max Health,81,Celeste,25,1530.0
max_health,Max Health,81,Celeste,26,1565.0
max_health,Max Health,81,Celeste,27,1600.0
max_health,Max Health,81,Celeste,28,1635.0
max_health,Max Health,81,Celeste,29,1670.0
max_health,Max Health,81,Celeste,30,1705.0
max_health,Max Health,81,Celeste,31,1740.0
max_health,Max Health,81,Celeste,32,1775.0
max_health,Max Health,81,Celeste,33,1810.0
max_health,Max Health,81,Celeste,34,1845.0
max_health,Max Health,81,Celeste,35,1880.0
max_health,Max Health,81,Celeste,36,1915.0
max_health,Max Health,64,Drifter,1,755.0
max_health,Max Health,64,Drifter,2,796.0
max_health,Max Health,64,Drifter,3,837.0
max_health,Max Health,64,Drifter,4,878.0
max_health,Max Health,64,Drifter,5,919.0
max_health,Max Health,64,Drifter,6,960.0
max_health,Max Health,64,Drifter,7,1001.0
max_health,Max Health,64,Drifter,8,1042.0
max_health,Max Health,64,Drifter,9,1083.0
max_health,Max Health,64,Drifter,10,1124.0
max_health,Max Health,64,Drifter,11,1165.0
max_health,Max Health,64,Drifter,12,1206.0
max_health,Max Health,64,Drifter,13,1247.0
max_health,Max Health,64,Drifter,14,1288.0
max_health,Max Health,64,Drifter,15,1329.0
max_health,Max Health,64,Drifter,16,1370.0
max_health,Max Health,64,Drifter,17,1411.0
max_health,Max Health,64,Drifter,18,1452.0
max_health,Max Health,64,Drifter,19,1493.0
max_health,Max Health,64,Drifter,20,1534.0
max_health,Max Health,64,Drifter,21,1575.0
max_health,Max Health,64,Drifter,22,1616.0
max_health,Max Health,64,Drifter,23,1657.0
max_health,Max Health,64,Drifter,24,1698.0
max_health,Max Health,64,Drifter,25,1739.0
max_health,Max Health,64,Drifter,26,1780.0
max_health,Max Health,64,Drifter,27,1821.0
max_health,Max Health,64,Drifter,28,1862.0
max_health,Max Health,64,Drifter,29,1903.0
max_health,Max Health,64,Drifter,30,1944.0
max_health,Max Health,64,Drifter,31,1985.0
max_health,Max Health,64,Drifter,32,2026.0
max_health,Max Health,64,Drifter,33,2067.0
max_health,Max Health,64,Drifter,34,2108.0
max_health,Max Health,64,Drifter,35,2149.0
max_health,Max Health,64,Drifter,36,2190.0
max_health,Max Health,11,Dynamo,1,880.0
max_health,Max Health,11,Dynamo,2,944.0
max_health,Max Health,11,Dynamo,3,1008.0
max_health,Max Health,11,Dynamo,4,1072.0
max_health,Max Health,11,Dynamo,5,1136.0
max_health,Max Health,11,Dynamo,6,1200.0
max_health,Max Health,11,Dynamo,7,1264.0
max_health,Max Health,11,Dynamo,8,1328.0
max_health,Max Health,11,Dynamo,9,1392.0
max_health,Max Health,11,Dynamo,10,1456.0
max_health,Max Health,11,Dynamo,11,1520.0
max_health,Max Health,11,Dynamo,12,1584.0
max_health,Max Health,11,Dynamo,13,1648.0
max_health,Max Health,11,Dynamo,14,1712.0
max_health,Max Health,11,Dynamo,15,1776.0
max_health,Max Health,11,Dynamo,16,1840.0
max_health,Max Health,11,Dynamo,17,1904.0
max_health,Max Health,11,Dynamo,18,1968.0
max_health,Max Health,11,Dynamo,19,2032.0
max_health,Max Health,11,Dynamo,20,2096.0
max_health,Max Health,11,Dynamo,21,2160.0
max_health,Max Health,11,Dynamo,22,2224.0
max_health,Max Health,11,Dynamo,23,2288.0
max_health,Max Health,11,Dynamo,24,2352.0
max_health,Max Health,11,Dynamo,25,2416.0
max_health,Max Health,11,Dynamo,26,2480.0
max_health,Max Health,11,Dynamo,27,2544.0
max_health,Max Health,11,Dynamo,28,2608.0
max_health,Max Health,11,Dynamo,29,2672.0
max_health,Max Health,11,Dynamo,30,2736.0
max_health,Max Health,11,Dynamo,31,2800.0
max_health,Max Health,11,Dynamo,32,2864.0
max_health,Max Health,11,Dynamo,33,2928.0
max_health,Max Health,11,Dynamo,34,2992.0
max_health,Max Health,11,Dynamo,35,3056.0
max_health,Max Health,11,Dynamo,36,3120.0
max_health,Max Health,76,Graves,1,730.0
max_health,Max Health,76,Graves,2,765.0
max_health,Max Health,76,Graves,3,800.0
max_health,Max Health,76,Graves,4,835.0
max_health,Max Health,76,Graves,5,870.0
max_health,Max Health,76,Graves,6,905.0
max_health,Max Health,76,Graves,7,940.0
max_health,Max Health,76,Graves,8,975.0
max_health,Max Health,76,Graves,9,1010.0
max_health,Max Health,76,Graves,10,1045.0
max_health,Max Health,76,Graves,11,1080.0
max_health,Max Health,76,Graves,12,1115.0
max_health,Max Health,76,Graves,13,1150.0
max_health,Max Health,76,Graves,14,1185.0
max_health,Max Health,76,Graves,15,1220.0
max_health,Max Health,76,Graves,16,1255.0
max_health,Max Health,76,Graves,17,1290.0
max_health,Max Health,76,Graves,18,1325.0
max_health,Max Health,76,Graves,19,1360.0
max_health,Max Health,76,Graves,20,1395.0
max_health,Max Health,76,Graves,21,1430.0
max_health,Max Health,76,Graves,22,1465.0
max_health,Max Health,76,Graves,23,1500.0
max_health,Max Health,76,Graves,24,1535.0
max_health,Max Health,76,Graves,25,1570.0
max_health,Max Health,76,Graves,26,1605.0
max_health,Max Health,76,Graves,27,1640.0
max_health,Max Health,76,Graves,28,1675.0
max_health,Max Health,76,Graves,29,1710.0
max_health,Max Health,76,Graves,30,1745.0
max_health,Max Health,76,Graves,31,1780.0
max_health,Max Health,76,Graves,32,1815.0
max_health,Max Health,76,Graves,33,1850.0
max_health,Max Health,76,Graves,34,1885.0
max_health,Max Health,76,Graves,35,1920.0
max_health,Max Health,76,Graves,36,1955.0
max_health,Max Health,17,Grey Talon,1,780.0
max_health,Max Health,17,Grey Talon,2,820.0
max_health,Max Health,17,Grey Talon,3,860.0
max_health,Max Health,17,Grey Talon,4,900.0
max_health,Max Health,17,Grey Talon,5,940.0
max_health,Max Health,17,Grey Talon,6,980.0
max_health,Max Health,17,Grey Talon,7,1020.0
max_health,Max Health,17,Grey Talon,8,1060.0
max_health,Max Health,17,Grey Talon,9,1100.0
max_health,Max Health,17,Grey Talon,10,1140.0
max_health,Max Health,17,Grey Talon,11,1180.0
max_health,Max Health,17,Grey Talon,12,1220.0
max_health,Max Health,17,Grey Talon,13,1260.0
max_health,Max Health,17,Grey Talon,14,1300.0
max_health,Max Health,17,Grey Talon,15,1340.0
max_health,Max Health,17,Grey Talon,16,1380.0
max_health,Max Health,17,Grey Talon,17,1420.0
max_health,Max Health,17,Grey Talon,18,1460.0
max_health,Max Health,17,Grey Talon,19,1500.0
max_health,Max Health,17,Grey Talon,20,1540.0
max_health,Max Health,17,Grey Talon,21,1580.0
max_health,Max Health,17,Grey Talon,22,1620.0
max_health,Max Health,17,Grey Talon,23,1660.0
max_health,Max Health,17,Grey Talon,24,1700.0
max_health,Max Health,17,Grey Talon,25,1740.0
max_health,Max Health,17,Grey Talon,26,1780.0
max_health,Max Health,17,Grey Talon,27,1820.0
max_health,Max Health,17,Grey Talon,28,1860.0
max_health,Max Health,17,Grey Talon,29,1900.0
max_health,Max Health,17,Grey Talon,30,1940.0
max_health,Max Health,17,Grey Talon,31,1980.0
max_health,Max Health,17,Grey Talon,32,2020.0
max_health,Max Health,17,Grey Talon,33,2060.0
max_health,Max Health,17,Grey Talon,34,2100.0
max_health,Max Health,17,Grey Talon,35,2140.0
max_health,Max Health,17,Grey Talon,36,2180.0
max_health,Max Health,13,Haze,1,730.0
max_health,Max Health,13,Haze,2,765.0
max_health,Max Health,13,Haze,3,800.0
max_health,Max Health,13,Haze,4,835.0
max_health,Max Health,13,Haze,5,870.0
max_health,Max Health,13,Haze,6,905.0
max_health,Max Health,13,Haze,7,940.0
max_health,Max Health,13,Haze,8,975.0
